,Time,Portfolio Values,Profit&Loss,Drawdowns,Returns
0,20,10000000,-10000100.0,1946582.0503,0
1,40,10000000.0,-6500.78429549,1946582.0503,0.0
2,60,10683995.5426,675478.657492,1262586.50766,0.0683995542631
3,80,11131762.8846,436003.721537,814819.165725,0.0419101019044
4,100,11172200.3264,38359.8068029,774381.72393,0.0036326179613
5,120,10664267.8558,-510503.471239,1282314.19445,-0.0454639601588
6,140,10653975.6615,-12006.4933446,1292606.38876,-0.000965110258148
7,160,10437323.0798,-225457.618577,1509258.97053,-0.0203353741976
8,180,10136371.3689,-304108.474575,1810210.68141,-0.028834185603
9,200,9387492.15056,-759500.385479,2559089.89974,-0.0738804046416
10,220,8900272.98054,-488715.955643,3046309.06975,-0.0519008870741
11,240,8558429.24684,-343934.308607,3388152.80345,-0.0384082302245
12,260,6916640.67115,-1644830.70349,5029941.37915,-0.191832931995
13,280,5847642.91947,-1071772.78906,6098939.13082,-0.154554472684
14,300,5528116.7241,-322652.169099,6418465.32619,-0.0546418787486
15,320,5017605.42049,-517111.156121,6928976.6298,-0.092348141164
16,340,4999020.96339,-19691.3053318,6947561.0869,-0.00370384985378
17,360,4980923.79298,-19076.2095018,6965658.25732,-0.00362014293281
18,380,4580200.76867,-402201.749984,7366381.28163,-0.0804515469356
19,400,4133471.23899,-449980.12959,7813110.81131,-0.0975349230837
20,420,3955664.90631,-180260.705944,7990917.14398,-0.0430162259256
21,440,3739881.72946,-218004.63844,8206700.32084,-0.0545504186942
22,460,3644361.97678,-98640.5246489,8302220.07352,-0.0255408485052
23,480,3451755.93024,-193426.842962,8494826.12006,-0.0528504160046
24,500,3346392.0034,-105999.35473,8600190.0469,-0.0305247326194
25,520,3644737.2643,297006.609737,8301844.786,0.0891543072653
26,540,3920358.99709,273741.455218,8026223.0532,0.0756218385045
27,560,4230705.25433,306242.905121,7715876.79597,0.0791627137894
28,580,4367324.04933,131714.038048,7579258.00097,0.0322922034947
29,600,4550815.9083,182387.957986,7395766.142,0.0420147112732
30,620,4202061.45928,-350073.488621,7744520.59101,-0.0766355871217
31,640,4315945.48085,111522.4703,7630636.56944,0.0271019409576
32,660,4546102.32488,226832.325823,7400479.72542,0.0533270971673
33,680,4868060.14234,319733.00839,7078521.90795,0.07082062709
34,700,5304263.19991,431206.751187,6642318.85039,0.0896051085671
35,720,5628118.15518,322567.761884,6318463.89512,0.0610555968034
36,740,5889587.3062,260062.192133,6056994.7441,0.0464576513512
37,760,6152846.42367,261628.370216,5793735.62662,0.0446990771658
38,780,7075460.12495,919654.893989,4871121.92535,0.149949086609
39,800,7733654.40098,652200.458812,4212927.64932,0.0930249431705
40,820,8413118.57709,671796.632595,3533463.4732,0.0878580992748
41,840,8584252.216,166000.314975,3362329.83429,0.0203412845472
42,860,8893726.97053,307448.429329,3052855.07977,0.0360514517444
43,880,9607585.30224,710027.785506,2338996.74805,0.0802653751435
44,900,10755607.7987,1138646.66433,1190974.25156,0.119491262412
45,920,11946582.0503,1185908.77243,0.0,0.110730539254
