ticker,mktshare,ipo_date
000001.SZ,"14,308,676,139.00",4/3/1991
000002.SZ,"11,049,610,300.00",1/29/1991
000004.SZ,"83,976,684.00",1/14/1991
000005.SZ,"914,333,607.00",12/10/1990
000006.SZ,"1,349,995,046.00",4/27/1992
000007.SZ,"230,965,363.00",4/13/1992
000008.SZ,"2,409,432,927.00",5/7/1992
000009.SZ,"1,592,107,386.00",6/25/1991
000010.SZ,"588,069,788.00",10/27/1995
000011.SZ,"595,979,092.00",3/30/1992
000012.SZ,"2,075,335,560.00",2/28/1992
000014.SZ,"201,705,187.00",6/2/1992
000016.SZ,"2,407,945,408.00",3/27/1992
000017.SZ,"551,347,947.00",3/31/1992
000018.SZ,"169,142,356.00",6/16/1992
000019.SZ,"301,080,184.00",10/12/1992
000020.SZ,"283,161,227.00",4/28/1992
000021.SZ,"1,471,259,363.00",2/2/1994
000022.SZ,"644,763,730.00",5/5/1993
000023.SZ,"138,756,240.00",4/29/1993
000024.SZ,"2,575,950,754.00",6/7/1993
000025.SZ,"297,281,600.00",6/21/1993
000026.SZ,"392,767,870.00",6/3/1993
000027.SZ,"3,964,491,597.00",9/3/1993
000028.SZ,"362,631,943.00",8/9/1993
000029.SZ,"1,011,660,000.00",9/15/1993
000030.SZ,"1,293,251,508.00",9/29/1993
000031.SZ,"1,813,731,596.00",10/8/1993
000032.SZ,"232,864,320.00",10/28/1993
000033.SZ,"329,402,050.00",1/3/1994
000034.SZ,"357,973,531.00",5/9/1994
000035.SZ,"619,278,871.00",4/8/1994
000036.SZ,"1,140,487,712.00",6/17/1994
000037.SZ,"602,762,596.00",7/1/1994
000038.SZ,"96,227,998.00",8/8/1994
000039.SZ,"2,689,391,666.00",4/8/1994
000040.SZ,"469,593,364.00",8/8/1994
000042.SZ,"488,234,980.00",9/21/1994
000043.SZ,"666,961,416.00",9/28/1994
000045.SZ,"506,521,849.00",8/15/1994
000046.SZ,"4,557,311,768.00",9/12/1994
000048.SZ,"390,768,671.00",11/1/1994
000049.SZ,"205,243,738.00",3/20/1995
000050.SZ,"1,131,738,475.00",3/15/1995
000055.SZ,"756,909,905.00",4/15/1996
000056.SZ,"573,892,434.00",7/8/1996
000058.SZ,"784,799,010.00",12/26/1996
000059.SZ,"1,599,442,537.00",1/30/1997
000060.SZ,"2,212,627,938.00",1/23/1997
000061.SZ,"1,696,964,131.00",1/10/1997
000062.SZ,"666,949,797.00",1/30/1997
000063.SZ,"4,125,049,533.00",11/18/1997
000065.SZ,"274,371,762.00",6/5/1998
000066.SZ,"1,323,593,886.00",6/26/1997
000068.SZ,"1,006,671,464.00",6/11/1997
000069.SZ,"7,271,342,722.00",9/10/1997
000070.SZ,"271,000,000.00",5/11/2000
000078.SZ,"752,513,855.00",12/18/1998
000088.SZ,"1,942,200,000.00",7/28/1997
000089.SZ,"2,050,769,509.00",4/20/1998
000090.SZ,"552,530,794.00",7/21/1999
000096.SZ,"528,000,000.00",7/24/2000
000099.SZ,"606,070,420.00",7/31/2000
000100.SZ,"12,224,549,262.00",1/30/2004
000150.SZ,"447,804,877.00",8/7/2000
000151.SZ,"295,980,000.00",9/6/2000
000153.SZ,"312,141,230.00",9/20/2000
000155.SZ,"470,000,000.00",9/26/2000
000156.SZ,"1,433,351,902.00",9/6/2000
000157.SZ,"7,705,954,050.00",10/12/2000
000158.SZ,"1,271,442,278.00",7/24/2000
000159.SZ,"481,139,294.00",9/26/2000
000166.SZ,"14,856,744,977.00",1/26/2015
000301.SZ,"1,218,236,445.00",5/29/2000
000333.SZ,"4,265,714,504.00",9/18/2013
000338.SZ,"3,998,619,278.00",4/30/2007
000400.SZ,"1,008,327,309.00",4/18/1997
000401.SZ,"1,347,522,914.00",6/14/1996
000402.SZ,"2,988,929,907.00",6/26/1996
000403.SZ,"272,577,599.00",6/28/1996
000404.SZ,"559,623,953.00",6/19/1996
000407.SZ,"774,048,768.00",7/3/1996
000408.SZ,"252,301,500.00",6/28/1996
000409.SZ,"472,709,345.00",6/27/1996
000410.SZ,"765,470,884.00",7/18/1996
000411.SZ,"207,449,946.00",7/16/1996
000413.SZ,"2,662,080,001.00",9/25/1996
000415.SZ,"3,548,606,952.00",7/16/1996
000416.SZ,"531,871,494.00",7/19/1996
000417.SZ,"779,884,200.00",8/12/1996
000418.SZ,"632,487,764.00",3/28/1997
000419.SZ,"543,582,655.00",8/16/1996
000420.SZ,"716,603,328.00",8/2/1996
000421.SZ,"572,646,934.00",8/6/1996
000422.SZ,"897,866,712.00",8/15/1996
000423.SZ,"654,021,537.00",7/29/1996
000425.SZ,"7,084,287,702.00",8/28/1996
000426.SZ,"1,193,889,056.00",8/28/1996
000428.SZ,"718,926,000.00",8/8/1996
000429.SZ,"1,257,117,748.00",2/20/1998
000430.SZ,"320,835,149.00",8/29/1996
000488.SZ,"1,936,405,467.00",11/20/2000
000498.SZ,"1,120,139,063.00",6/9/1997
000501.SZ,"529,025,590.00",11/20/1992
000502.SZ,"184,819,607.00",11/23/1992
000503.SZ,"898,822,204.00",11/30/1992
000504.SZ,"311,573,901.00",12/8/1992
000505.SZ,"426,745,404.00",12/21/1992
000506.SZ,"929,017,761.00",3/12/1993
000507.SZ,"789,540,919.00",3/26/1993
000509.SZ,"825,483,117.00",5/7/1993
000510.SZ,"609,182,254.00",5/7/1993
000511.SZ,"1,154,832,011.00",5/18/1993
000513.SZ,"395,696,927.00",10/28/1993
000514.SZ,"843,770,965.00",7/12/1993
000516.SZ,"788,419,721.00",8/9/1993
000517.SZ,"3,183,922,485.00",8/6/1993
000518.SZ,"1,029,556,222.00",9/8/1993
000519.SZ,"1,033,224,158.00",10/8/1993
000520.SZ,"1,012,083,455.00",10/25/1993
000521.SZ,"763,739,205.00",10/18/1993
000523.SZ,"445,163,588.00",11/8/1993
000524.SZ,"269,673,744.00",11/18/1993
000525.SZ,"507,246,849.00",10/28/1993
000526.SZ,"96,195,107.00",11/1/1993
000528.SZ,"1,125,242,136.00",11/18/1993
000529.SZ,"583,790,330.00",11/18/1993
000530.SZ,"360,164,975.00",12/8/1993
000531.SZ,"685,082,820.00",1/6/1994
000532.SZ,"344,708,340.00",1/3/1994
000533.SZ,"690,816,000.00",1/3/1994
000534.SZ,"491,785,096.00",1/10/1994
000536.SZ,"779,102,886.00",11/26/1993
000537.SZ,"512,717,581.00",12/10/1993
000538.SZ,"1,041,399,718.00",12/15/1993
000539.SZ,"5,250,283,986.00",11/26/1993
000540.SZ,"4,305,693,702.00",2/2/1994
000541.SZ,"1,272,132,868.00",11/23/1993
000543.SZ,"1,053,174,105.00",12/20/1993
000544.SZ,"269,459,799.00",12/8/1993
000545.SZ,"986,833,096.00",12/15/1993
000546.SZ,"598,439,493.00",12/15/1993
000547.SZ,"1,429,628,897.00",11/30/1993
000548.SZ,"499,215,811.00",12/20/1993
000550.SZ,"863,214,000.00",12/1/1993
000551.SZ,"400,080,405.00",1/6/1994
000552.SZ,"1,143,485,525.00",1/6/1994
000553.SZ,"593,923,220.00",12/3/1993
000554.SZ,"480,793,320.00",12/15/1993
000555.SZ,"917,811,916.00",4/8/1994
000557.SZ,"686,133,996.00",6/17/1994
000558.SZ,"859,482,633.00",5/9/1994
000559.SZ,"2,294,299,545.00",1/10/1994
000560.SZ,"1,170,235,934.00",2/2/1994
000561.SZ,"595,844,701.00",5/9/1994
000563.SZ,"1,214,667,354.00",1/10/1994
000564.SZ,"752,926,271.00",1/10/1994
000565.SZ,"433,592,220.00",4/8/1994
000566.SZ,"545,340,432.00",5/25/1994
000567.SZ,"151,200,000.00",5/25/1994
000568.SZ,"1,402,252,476.00",5/9/1994
000570.SZ,"561,374,326.00",7/1/1994
000571.SZ,"814,064,000.00",5/25/1994
000572.SZ,"1,644,636,426.00",8/8/1994
000573.SZ,"622,755,604.00",8/15/1994
000576.SZ,"442,861,324.00",9/7/1994
000581.SZ,"1,008,950,570.00",9/24/1998
000582.SZ,"954,045,720.00",11/2/1995
000584.SZ,"613,324,339.00",11/28/1995
000585.SZ,"873,370,000.00",12/13/1995
000586.SZ,"193,440,000.00",12/20/1995
000587.SZ,"557,134,734.00",4/25/1996
000589.SZ,"775,464,304.00",3/8/1996
000590.SZ,"223,331,267.00",1/19/1996
000591.SZ,"274,630,983.00",2/8/1996
000592.SZ,"847,407,034.00",3/27/1996
000593.SZ,"279,940,202.00",3/12/1996
000595.SZ,"372,440,125.00",4/19/1996
000596.SZ,"503,600,000.00",9/27/1996
000597.SZ,"474,655,068.00",5/23/1996
000598.SZ,"2,986,218,602.00",5/29/1996
000599.SZ,"674,578,893.00",4/30/1996
